Title,Question,URL
登録制アルバイトの雇用契約について,お世話になります。雇用契約に関する質問をさせていただきます。当社ではアルバイト従業員への依頼業務が業務受託ベースであることから不定期な状態であります。しかし、委託元の要望もあり当社とアルバイト従業員の雇用関係は直接雇用契約を維持しております。このような条件下での登録制アルバイトの雇用契約を本サイトで調べていたところ、次の記載をしているＱ＆Ａを見つけました(https://jinjibu.jp/qa/detl/54473/1/)。この回答の2番目に記載されている「あくまで、具体的な依頼の都度、雇用契約書を作成することが原則となりますが、実現不可能ということであれば、初回登録時に労働基準法15条の明示事項を網羅した雇用契約書を交付する方法もございます。」の記載を参照に考慮した場合、新規採用するアルバイト従業員と最初に取り付ける雇用契約書は包括的な内容として直接雇用契約を結び、実際の業務依頼時に労働条件通知書で業務内容を提示するという流れであれば、委託元企業の要求する直接雇用契約している従業員になり得るでしょうか？また、当該ケースにおける雇用契約書のひな形等があればご教授いただければ幸甚に存じます。何卒よろしくお願い申し上げます。,https://jinjibu.jp/qa/detl/85780/1/
雇用契約書の代表者名について,雇用契約書を作成する際、代表者は法人代表でないといけないのでしょうか？事業所の代表では無効となってしまうのか？参考までに、社会保険の事業所登録は、法人代表者となっています。押印の関係で事業所代表で作成したいと考えています。アドバイス宜しくお願いします。,https://jinjibu.jp/qa/detl/71955/1/
雇用契約書の有効性について,契約社員を採用する際、面談時に口頭で２年程度の長期勤務を前提としている採用である旨を伝え、ただし業務への適性を見極めるために当初の雇用期間は３ヶ月とすることにも合意がなされたので採用としました。雇用契約書は、配属先事業所が正式に決定していなかったため、就業場所を会社名とし住所は予定配属先住所にして締結しました。その後、正式に予定通りの配属先に決定したため、会社名のあとに事業所名を入れて、雇用期間の開始日を配属日に変えただけの雇用契約書をあらためて締結しようとしたら、時給や３ヶ月の雇用期間の設定への不満を理由に署名捺印を拒否して現在に至っています。この場合、最初に締結した雇用契約書は有効であると考えて問題ないでしょうか。また初回契約で更新履歴がなく、業務指示に従わず支障を来たす事態が重なったため、契約期間満了で終了することを伝えていますが、面談時に口頭で長期勤務を前提としていた点を根拠に契約終了を頑なに拒否していますが、これは正当な根拠になり得るのでしょうか。,https://jinjibu.jp/qa/detl/10699/1/
雇用契約書内容について,雇用契約書内容の質問です。賞与・退職金についての項目があり「会社規程に準ずる」としております。会社規程とは就業規則を指しておりますが、入社後に閲覧できる状況です。以下2点についてご教示ください。①各種規定は入社前には閲覧できない状況なので雇用契約書への記載はどのようにすべきでしょうか②就業規則内の退職金支払年数等が記載された退職金規程は公開しておらずこの部分については在籍社員へ公開すべきでしょうかまたその際に雇用契約書への記載はどのようにしたらよろしいでしょうか,https://jinjibu.jp/qa/detl/122867/1/
労働条件通知書（雇用契約書）について,労働条件通知書（雇用契約書）について教えてください。雇用契約書の使用者印ですが、使用者印を押した後にコピーし、スタッフへ渡す+会社で保管でも問題ないのでしょうか。使用者印がコピーではなくちゃんと捺印したもののみ、有効なのでしょうか。,https://jinjibu.jp/qa/detl/120451/1/
有期雇用パート社員の契約更新の際、自動更新は可能か？,半年ごとの有期契約にて雇い入れをして、雇い入れ時にはきちんと就業時間や時給額、休日などパートタイム労働法に沿い明示した契約書を交わしていますが、さらに半年の更新契約をする際、待遇条件等がすべて同じであれば、契約書を新たに取り交わさず自動更新は可能でしょうか。先般、あるセミナーに参加した際、更新時も雇い入れ時と同じ解釈と説明され、条件がまったく同じであってもきちんと更新の契約書を取り交わさないと、企業が10万円以下の罰金となると聞きました。,https://jinjibu.jp/qa/detl/64676/1/
雇用契約書について,お世話になっております。正社員の雇用契約書についてご質問をさせて下さい。当社では入社時と試用期間終了時に雇用契約書を本人と締結しています。しかし、部署異動時や給与改定時にも雇用契約書を締結している状況です。多い場合は、入社2年目の社員で、6枚くらい雇用契約書がある状態です。雇用契約書とは別に辞令交付（昇格辞令等）発行していますので異動の度に雇用契約書を結びなおすのはおかしいと思いますが一般的にはどうなのでしょうか。宜しくお願い致します。,https://jinjibu.jp/qa/detl/10485/1/
雇用契約書の記入日付について,雇用契約書についての質問です。本年４月１日のように入社日が休日で、実際の出社が翌日からとなった場合、雇用契約書の記入日は、遡って入社日で記載するのか、それとも実際の記入日にするのか、どちらが適切でしょうか。以前「契約は契約期間に関わらず実記入日で書くこと」と聞いたことがありますが、雇用契約書もこの前提で良いのでしょうか。なお、雇用契約書の「入社日」は４月１日と明記しています。,https://jinjibu.jp/qa/detl/49020/1/
雇用契約書(労働条件通知書)について,①労働条件通知書と雇用契約書はどちらか１つでも問題ないでしょうか。②もしくは、労働条件通知書　兼　雇用契約書としても問題ないでしょうか。③試用期間があります。試用期間と試用期間終了後の契約内容が異なるため2種類作成していますが、雇用契約書は2種類まとめて渡すべきですか。それとも、試用期間終了時にもう1種類の契約書を渡せばよいでしょうか。,https://jinjibu.jp/qa/detl/128826/1/
雇用契約書について,就業規則には、時間外や有給の期日はありますが、雇用契約書には、時間外や有給の期日はありません。契約書としては違反になるのでしょうか？,https://jinjibu.jp/qa/detl/4839/1/
就業時間変更に伴う雇用契約書変更の件,いつも大変お世話になっております。この度、弊社にて就業時間の改訂がおこなわれることになりました。（内容）9時始業18時終業（休憩1時間）→8時50分始業18時終業（休憩1時間10分）これに伴い、質問がございます。・全正社員の雇用契約書の変更を行う必要があるでしょうか。・短期雇用社員（アルバイト）は半年ごとに契約書の変更を行っているのですが、それを待たずして、変更する必要がありますでしょうか。ご教示くださいますようにお願いいたします。,https://jinjibu.jp/qa/detl/48621/1/
雇用契約書に記載すべき賃金について,いつもお世話になっております。よろしくお願いいたします。雇用契約書には賃金を記載しなければならないとありますがそれは、金額を明記する必要がありますか？そうであればどこまで具体的（例えば基本給がいくら何々手当がいくら等々）に記載が必須でしょうか？当社の諸事情により、できれば契約書には【別紙明細により】等と金額の明記は避け雇用契約書とは別で金額の提示をするのは可能でしょうか？,https://jinjibu.jp/qa/detl/124776/1/
雇用契約書について,毎々お世話になっております。雇用契約書を交わす時期についてご教示ください。手続きの見直しで、オファーレター送付時に、雇用契約書（兼労働条件通知書）を一緒に同封しようと考えていますが、雇用契約書（兼労働条件通知書）は、入社時に交付した方がよろしいでしょうか？　また、これまでオファーレターには、入社承諾書を添付しておりましたが、雇用契約書でそれを代用することは可能でしょうか？関連する質問ですが、「労働条件通知書」は、いつ頃から明示が義務付けられたのでしょうか？　昔のやり方と少々違っていて、時々迷う事があります。ご教示お願い致します。,https://jinjibu.jp/qa/detl/109601/1/
雇用契約書の再作成について,昨年9月から3年契約の有期にて職員と雇用契約書を取り交わしましたが、本年に入り給与を引き上げることが決まり（実績を勘案した結果）、契約時に遡って差額を支給することになりました。　そこで、ご相談ですが、既に取り交わしている契約書を再度締結するにあたり、どのような点に注意して作成すればよいのかご教示をお願いいたします。,https://jinjibu.jp/qa/detl/12619/1/
就労ビザ　雇用契約書,留学生が就労ビザに変更する手続上で、入管法上の就労資格の取得を条件として雇用契約が効力を有するような内容（停止条件付き雇用契約）で契約を結ぶ場合、その一文は、内定承諾書に記載で大丈夫でしょうか？特に署名もなく、本人に渡すのみでも効力はありますか？,https://jinjibu.jp/qa/detl/88095/1/
労働条件通知書と雇用契約書について,お世話になります。表題の件につきまして、ご教示のほどお願いいたします。弊社では、内定後すぐに労働条件通知書を送り、内定受諾。入社日に雇用契約書で締結。という流れですが、労働条件通知書をお渡ししていない方の入社が迫っており、通常の雇用契約書に「労働条件通知書兼雇用契約書」と記載しお渡しする予定です。＜質問＞①上記の方法で良いのか、お伺いしたいです。②「労働条件通知書兼雇用契約書」作成で気を付けるべきポイント等はございますでしょうか。③今後、「労働条件通知書兼雇用契約書」の一枚で統一することはできますでしょうか。その際の、お渡しするタイミングがいつになりますでしょうか。ご多用の折、大変恐縮ではございますが、どうぞ宜しくお願いいたします。,https://jinjibu.jp/qa/detl/103831/1/
雇用契約の電子化以降に書面で希望する場合について,いつも貴重なご意見をありがとうございます。さて、弊社では、雇用契約書をクラウド上で電子的に配信し、それに電子署名を頂く形で運用しています。多くの社員には理解してもらえているのですが、なかに数名、電子的な雇用契約ではなく、書面での雇用契約を希望されている方がいると想定しています。ただ、システム上では、書面での雇用契約を希望するという選択肢はないため、従業員には電子的な合意を強制している状態です。書面での雇用契約を選択できないと、法的に問題はあるでしょうか？ちなみにですが、雇用契約書は労働条件通知書と兼ねています。合意後の雇用契約書を電子的に保管するか、書面での配付を希望するかは、従業員側で選択でき、書面での配付を希望された方には書面でお渡ししています。よろしくお願い致します。,https://jinjibu.jp/qa/detl/98273/1/
契約社員の雇用契約書について,内定の方に労働条件通知書兼用で雇用通知書をお渡ししたいのですが、入社日がまだ決まっていません。この場合は入社日が明記できないので雇用契約書ではなく労働条件通知書のみお渡し、入社日が決まってから雇用通知書を交付する形となりますでしょうか。お手数お掛けしますが、お教え頂けますと幸いです。,https://jinjibu.jp/qa/detl/76235/1/
社保加入日と雇用契約書の雇い入れ日が異なる？,いつも御世話様です。今度、６０代前半の方を雇い入れて、雇用契約書を取り交わす予定です。実際の雇用期間は、１２月２１日からなのですが、社会保険には、１２月１日より加入したいとの希望がございます。賃金は、１２月２１日からの分しか支払いを致しませんが、会社が認めれば、社保の加入日と仕事のスタート日が異なっても良いのでしょうか。法律上は、どうなのか、アドバイスをお願いします。,https://jinjibu.jp/qa/detl/24003/1/
日々雇用者についての雇用契約書,"弊社は小さな警備会社です。警備員は工事現場がある時に、その勤務が発生致します。一番短くて、前日と言う事も御座います。よって面接時はその事も納得して入社しており、さらに雇用契約書内にも「当社が貴殿に就労日を指定して、雇用を申し入れ、貴殿が承諾した場合に日々雇用が成立する」と明記して交わしております。雨などで現場が中止になった場合には中止手当（￥1,000～￥3,000円、顧客と交わした条件範囲にて）と称して雇用契約書に明記もし、支払ってもおります。現在のところ、問題は発生しておりませんが、懸念していることがあり、勤務がなかったとして休業補償を請求してきた時は困ります。ある社労士の先生に少しお尋ねしたところ、日々雇用契約書を交わさないとまずいとの話がありましたが、労使共に労力も掛かり、実現不可能と考えます。雇用契約書上の工夫により合法的な方法がありませんでしょうか。お知恵をお貸し下さい。何卒宜しくお願いします。",https://jinjibu.jp/qa/detl/54473/1/
雇用契約書,現在、パートさんの雇用契約書は半年後との更新としていますが、契約時間を１２０時間などと一律で明記しています。この方式ですと、３０日と３１日の月でも何となく店長は既得権の様に１２０時間を入れてしまうケースが多く有ります。例えば雇用契約書の中に３０日の月は１１２時間とか３１日の月は１２０時間とか日数によって異なる契約時間を明記することは可能でしょうか？お教え下さい。,https://jinjibu.jp/qa/detl/2591/1/
パート社員雇用契約書の契約見直し最低期限はありますか？,パート社員の雇用契約書を結びたいのですが、再契約の最低期間はありますか、又何か月でしょうか？・新たに契約書を結びたいときに、就業能力が未達の場合、契約を結ばなくても良いとは思いますが、注意点はありますでしょうか？,https://jinjibu.jp/qa/detl/98912/1/
アルバイト雇用契約書について,アルバイトを雇用することになり、雇用契約書を作成しております。正社員とは違うのでどのように作成すればよいのか教えてください。（労働条件）・勤務時間：10:00〜19:00の間で4時間程度・勤務日：平日の週2〜3日程度　出勤する曜日は固定ではなく、本人の学業等のスケジュールに合わせて変動・1週間の総勤務時間数は20時間未満・1日あたりの勤務時間は4時間から減ることはありませんが、本人が時間があり、働きたいと申請すれば最長7時間半まで勤務可能・賃金は時給・休憩は6時間を超え8時間以下の場合45分、8時間超の場合60分このようにシフト制のような勤務になります。勤務時間がその日に決まったりするので、はっきり●時間と記載できません。ある程度幅を効かせて、記載できますでしょうか？この場合、勤務時間の欄などはどのように記載したらよろしいのでしょうか？また、8時間を超えない部分については割増賃金を支払う必要はないのでしょうか？その場合、雇用契約書にもその旨を記載すべきでしょうか？初めてアルバイトを雇用する小さな会社で相談する方もおらず困っております。ご教授お願い致します。,https://jinjibu.jp/qa/detl/94773/1/
派遣労働契約書に交通手段を記載いただくのは違反なのですか？,受入している派遣スタッフの交通費を把握するために、契約書面に内訳記載をお願いしたところ、特定の派遣元から以下のようなコメントが寄せられました。「弊社担当部署に確認をしたところ特定行為にあたる可能性があるため、記載が難しいとの見解でした。」と。交通費の請求が正しいのかを判断するため、報告いただくことになっていますが、このような特定行為とは何を意味するのでしょうか？理解が出来ません。お詳しい方に、ご教示いただけましたら幸いです。お手数をおかけ致しますが、どうぞよろしくお願いいたします。,https://jinjibu.jp/qa/detl/128209/1/
試用期間と雇用契約書,お世話になっております。当社では、有期契約社員について、１４日間の試用期間を設けています。入社した時に、試用期間に対する印鑑を両者が(当社では担当者印)押印しています。また、試用期間が終わったら再度本契約に対する印鑑を両者が(当社では社印)押印しています。この方法であっているのか疑問に思えてきました。入社日から社印を押印するべきではないでしょうか？また、試用期間に対する押印というのは、必要なのでしょうか。ご指導の程、よろしくお願い申し上げます。,https://jinjibu.jp/qa/detl/9190/1/
以前の雇用契約書は無効になるか？,製造業をしております。従業員にはパートタイマーがおり雇用契約書を取り交わしています。最低賃金の更新時ともともとの4月に雇用契約書を更新しております。その際には雇用契約書の旧版は3年間分を保管しておりますが、旧雇用契約書は会社側も、使用者側も旧版扱いとしてなにか処置を行ったほうがよいでしょうか？保管している以前の雇用契約書は契約日付によって最新版と識別でき、旧版は無効になるのでしょうか？雇用契約書には1年間の契約としている。最低賃金が秋に改定されるため4月に取り交わしした雇用契約その期間がダブってしまう。よろしくおねがいします。,https://jinjibu.jp/qa/detl/85464/1/
不定期の雇用契約について,当社は全国に専門店をチェーン展開する会社です。定年後（６５歳）の従業員を不定期で雇いたいという要望が出てきました。不定期というのは本人の経験を生かし店舗の搬入応援や陳列作業等を必要あるときだけ行うというもので、遠方店舗の場合は出張を伴います。開店や改装がない時は仕事はありません。ですので仕事のある時期は偏りがあります。不定期な日雇いならその都度契約を結べばいいとは思いますが、手続が面倒であるため、１年契約として、税額乙欄扱いの臨時雇員で当社が必要とするときに、（仮に）10時から19時休憩１時間１日8時間働いてください。仮に時給は１０００円です。出張の際の日当及び交通費は出張旅費規定を準用する...。その他必要な明示事項を記載する...。このような内容で本人と合意すれば労働契約を締結することは可能でしょうか？,https://jinjibu.jp/qa/detl/58133/1/
雇用契約書の必要性,いつもお世話になります。弊社では、社員採用時に雇用条件通知書及び就業規則を交付しています。（コピーを会社で保管）一般的に、雇用条件通知書を渡せば、契約書（双方が捺印）は必要ないとは思うのですが裏づけする法令や文言があれば教えていただければ幸いです。例えば労基法第十五条では　使用者は、労働契約の締結に際し、労働者に対して賃金、労働時間その他の労働条件を明示しなければならない。この場合において、賃金及び労働時間に関する事項その他の厚生労働省令で定める事項については、厚生労働省令で定める方法により明示しなければならない。と、ありますが、契約書を交わさなくてもいいとは書いていません。記載がない＝必要ない　と解釈していいのでしょうか？宜しくお願い致します。,https://jinjibu.jp/qa/detl/6928/1/
時給ＵＰにあたり契約書を更新すべきか,無期と有期のパートがいます。有期は1年の契約。　無期は就業規則に沿って60歳の誕生日までとなっています。相談毎：　有期/無期のパートに　昇給の度に　毎度　雇用契約書を発行すべきなのでしょうか？　　　　　個人の見解としては　　2019年10月1日より　○○様の　時間給は1000円　と通知し　　　　　労働者側に　サイン押印を求めなくてもよいのでは　と思っています。　　　10月に最低賃金が更新され　当社に在籍する　無期/有期のパートは数人　次の最低賃金では下回るので　時間給をＵＰすると上司が言っています。それに伴い　雇用契約書を　再発行せよと指示があり　毎度の事ですが20人以上の契約書を毎年　事が起きるたびに作成し　正直　疲れます。無期が発令した事で　多少　契約書を作成する事が　軽減されるかと思ったのに結局　時給の昇給があった場合　また　作るのかと思うと　事務作業は減らないのかと思います。雇用契約書には昇給については　「改定する事もあれば　業績によりしない事もある」と記載しています。また　いつ　時間給が昇給するか等は明確にしていません。どのように取り組む事が　ベストなのか　お教えください。,https://jinjibu.jp/qa/detl/86533/1/
有期契約と定年について,いつもお世話になっております。有期契約社員に「定年」は適用できるのでしょうか？または「定年年齢」の60歳以降雇用（更新）しないと規定することはできるのでしょうか。（無期転換は発生しないとして）ちなみに弊社は、正社員は60歳定年で、その後は1年ごとの更新で65歳までの再雇用制度を導入しております。若い会社の為、今まで定年になった人はいません。,https://jinjibu.jp/qa/detl/68398/1/
正職員の雇用契約書の作成について,標記の件でご教授ください。年金事務所から厚生年金保険被保険者の資格等の調査が近くあるとの通知があり、当日の準備書類の中に雇用契約書が必要とありましたが、当事業所には雇用契約書が存在しません。1.有期雇用の方には、労働条件通知書を交付（本人の自書による契約あり）2.正職員は入職時は試用期間中の労働条件通知書を交付（本人の自書による契約あり）し、試用期間終了時に正職員としての辞令交付を行う。としてきた歴史があります。（私自身もそうでした。）このような場合、入職時点の雇用契約書がないのですが、どのように対応すべきか悩んでおります。１．入職時に遡って作成したものを持参する。（不正行為であればしません。）２．試用期間中の労働条件通知書の写しと辞令の写しを持参する。（労働者名簿は整備しています。）３．当日、契約書がないことを伝え、指示をもらう。上記のような考えしか出てきません。良い対応方法があれば教えてください。また、今後は雇用契約書を整備することで問題解消に向かうことは可能と思いますが、これまでの正職員についてはどう対応すべきか、併せて教えていただけると助かります。宜しくお願いいたします。,https://jinjibu.jp/qa/detl/78591/1/
１年経過後の労働契約書の交付義務,入社時労働契約書は交付せず、口頭で契約していた社員が、入社後１年経過した今になって労働契約書を請求してきました。この社員に対し労働契約書を交付する義務はあるのでしょうか。？　また、労働契約書がない場合でも、労働者が数ヶ月間労働を続ければ、その労働条件を追認したものとして、その時の仕事内容や賃金が契約と見なされると解釈していますが、誤りでしょうか？,https://jinjibu.jp/qa/detl/44232/1/
入社承諾書と雇用契約書の効力,毎々お世話になっております。既に同様の質問をさせて頂きましたが、追加で投稿させていただきます。入社前に、入社承諾書に署名をもらい、同時に雇用契約書を取り交わした場合、内定取り消しは出来なくなってしまうという理解でよろしいでしょうか？反対に、入社辞退に対しては、雇用契約書だけ交わしておけば歯止めになると考えてよろしいでしょうか？　気になりましたので、再度投稿させていただきました。,https://jinjibu.jp/qa/detl/109624/1/
雇用契約書,ご相談です。パート雇用契約書の契約期間が、（平成　25年　7月　1日～平成　27年　6月　30日）の2年契約になります。H27年4月1日より、時給がUPしました。シフトも週2日から週3日に変わります。新たに、雇用契約書の作成依頼がありましたので、作成しようと思います。その場合、雇用契約書の契約期間が、（平成　27年　4月　1日～平成　27年　6月　30日）に定めていいでしょうか？それとも、当初の（平成　25年　7月　1日～平成　27年　6月　30日）に定めるのでしょうか？ご回答よろしくお願いします。,https://jinjibu.jp/qa/detl/62335/1/
患者送迎運転手の雇用期間について,パートタイム（アルバイト）の患者送迎の運転手を新しく求人するにあたって、65歳以上の方を1年の有期契約（更新あり）、70歳以上の方を6か月の有期契約（更新あり）とすることは問題ないでしょうか。採用時に65歳未満の方は65歳までは無期契約、65歳に達した時点で1年の有期契約、70歳に達した時点で6か月の有期契約とするイメージです。,https://jinjibu.jp/qa/detl/107900/1/
このケースだと、雇用保険はどのようになるのでしょうか？,初めまして。現在、社内で人事業務を務めることになり勉強をしております。雇用保険の加入をしているパートさんについて、お伺いしたいことがございます。【Q】パートさんが、私用で所定労働時間が週20時間を切る時がたまにある場合は、雇用保険は解除されるのでしょうか？（雇用契約書は週21時間で契約しており、基本的には週20を超えています）雇用保険の加入が切れるとしたら、何を基準に20時間超えているかを判断するのでしょうか？ネットで調べていてもその基準がわからず質問をさせていただきました。皆様、宜しくお願い致します。,https://jinjibu.jp/qa/detl/90165/1/
アルバイトの雇用契約書について,弊社は店舗を運営している会社です。学生アルバイトも多く在籍し、週１勤務から週５勤務まであり、勤務時間も幅広くなっております。週１勤務の方でも４時間～８時間まで。週の勤務日数もシフト制のため様々です。10月からの社会保険の拡充に伴い、雇用契約書を複数にわける必要が出てきました。ただ上記のような勤務体制のため従業員個別で契約書を作成するにはあまりにもパターンが多くなりすぎてしまいます。記載方法として【社保加入対象外・・・扶養内勤務希望者や昼間学生など】月間の総労働時間は80時間未満とする【社保加入対象者】月間の総労働時間は80時間以上とするだと記載に問題は出るのでしょうか？,https://jinjibu.jp/qa/detl/119447/1/
雇用契約書や労働条件通知書について,弊社は3年前まで雇用契約書や労働条件通知書の発行がありませんでした。3年前から入社した社員には雇用契約書や労働条件通知書が発行されていますが、それ以前に入社した社員にはありません。全て面接時に口頭で説明したのみで文書は発行されていないのです。（弊社は中小企業で1000人未満です）今からでも全社員に発行する必要があるのでしょうか。,https://jinjibu.jp/qa/detl/114943/1/
有期雇用契約の更新条件の明示について,即今の経済情勢を鑑みて、有期雇用契約の締結・更新について考えているところがあります。有期雇用契約の締結時には、その契約の更新の有無、契約を更新する・しないの基準を明示しなければならないかと思いますが、例えば、「雇用契約にかかる、携わる業務・仕事が完了した場合は、契約を更新しない」と言った条件を明示し、その通りに契約を更新しなかったとしても、法的には問題はないでしょうか。あるいは、「雇用契約期間内であっても、携わる業務・仕事が完了した場合は、その時点を持って契約を終了する」と言った条件を明示し、その通りに契約を終了したとしても、法的には問題はないでしょうか。ご教授下さい。宜しくお願いいたします。,https://jinjibu.jp/qa/detl/18414/1/
